time,edge_id,mean_speed,occupancy,veh_count
1.0,A0A1,13.89,0.0,0
1.0,A0B0,13.89,0.0,0
1.0,A1A0,13.89,0.0,0
1.0,A1A2,13.89,0.0,0
1.0,A1B1,13.89,0.0,0
1.0,A2A1,13.89,0.0,0
1.0,A2A3,13.89,0.0,0
1.0,A2B2,13.89,0.0,0
1.0,A3A2,13.89,0.0,0
1.0,A3A4,13.89,0.0,0
1.0,A3B3,13.89,0.0,0
1.0,A4A3,13.89,0.0,0
1.0,A4B4,13.89,0.0,0
1.0,B0A0,13.89,0.0,0
1.0,B0B1,13.89,0.0,0
1.0,B0C0,13.89,0.0,0
1.0,B1A1,13.89,0.0,0
1.0,B1B0,13.89,0.0,0
1.0,B1B2,13.89,0.0,0
1.0,B1C1,13.89,0.0,0
1.0,B2A2,13.89,0.0,0
1.0,B2B1,13.89,0.0,0
1.0,B2B3,13.89,0.0,0
1.0,B2C2,13.89,0.0,0
1.0,B3A3,13.89,0.0,0
1.0,B3B2,13.89,0.0,0
1.0,B3B4,13.89,0.0,0
1.0,B3C3,13.89,0.0,0
1.0,B4A4,13.89,0.0,0
1.0,B4B3,13.89,0.0,0
1.0,B4C4,13.89,0.0,0
1.0,C0B0,13.89,0.0,0
1.0,C0C1,13.89,0.0,0
1.0,C0D0,13.89,0.0,0
1.0,C1B1,13.89,0.0,0
1.0,C1C0,13.89,0.0,0
1.0,C1C2,13.89,0.0,0
1.0,C1D1,13.89,0.0,0
1.0,C2B2,13.89,0.0,0
1.0,C2C1,13.89,0.0,0
1.0,C2C3,13.89,0.0,0
1.0,C2D2,13.89,0.0,0
1.0,C3B3,13.89,0.0,0
1.0,C3C2,13.89,0.0,0
1.0,C3C4,13.89,0.0,0
1.0,C3D3,13.89,0.0,0
1.0,C4B4,13.89,0.0,0
1.0,C4C3,13.89,0.0,0
1.0,C4D4,13.89,0.0,0
1.0,D0C0,13.89,0.0,0
1.0,D0D1,13.89,0.0,0
1.0,D0E0,6.945,0.013646288209606987,1
1.0,D1C1,13.89,0.0,0
1.0,D1D0,13.89,0.0,0
1.0,D1D2,13.89,0.0,0
1.0,D1E1,13.89,0.0,0
1.0,D2C2,13.89,0.0,0
1.0,D2D1,13.89,0.0,0
1.0,D2D3,13.89,0.0,0
1.0,D2E2,13.89,0.0,0
1.0,D3C3,13.89,0.0,0
1.0,D3D2,13.89,0.0,0
1.0,D3D4,13.89,0.0,0
1.0,D3E3,13.89,0.0,0
1.0,D4C4,13.89,0.0,0
1.0,D4D3,13.89,0.0,0
1.0,D4E4,13.89,0.0,0
1.0,E0D0,13.89,0.0,0
1.0,E0E1,13.89,0.0,0
1.0,E1D1,13.89,0.0,0
1.0,E1E0,13.89,0.0,0
1.0,E1E2,13.89,0.0,0
1.0,E2D2,13.89,0.0,0
1.0,E2E1,13.89,0.0,0
1.0,E2E3,13.89,0.0,0
1.0,E3D3,13.89,0.0,0
1.0,E3E2,13.89,0.0,0
1.0,E3E4,13.89,0.0,0
1.0,E4D4,13.89,0.0,0
1.0,E4E3,13.89,0.0,0
31.0,A0A1,13.89,0.0,0
31.0,A0B0,13.89,0.0,0
31.0,A1A0,12.284810878031031,0.013646288209606987,1
31.0,A1A2,13.89,0.0,0
31.0,A1B1,13.89,0.0,0
